expositor,descripcion,rrss,logo
HASENI,"somos una tienda que ha crecido significativamente , podemos ofrecer al publico gran variedad de titulos y colecciones de manga original de editoriales españolas, mexicanas y argentinas. Promoviendo la lectura entre niños y jovenes y acercarlos mas al mundo asiatico y su cultura.",https://www.facebook.com/tiendahaseni,27.jpg
Palette,"Colectivo de Ilustradorxs de la V Región, que busca empoderar el trabajo femenino y de disidencias en sus diferentes áreas de desempeño, en el cual se destacan: ilustración, manualidades, diseño y narrativa gráfica. ",https://www.instagram.com/colectivo_palette,28.jpg
Rada & Inku,"Somos dos ilustradorxs dedicados al dibujo y a la creación plástica. Tenemos venta de ilustraciones originales en distintos formatos: stickers, posters, pines, libretas, además de figuritas de porcelana y piezas únicas, todo hecho a mano y con mucho amor",https://www.instagram.com/radamandy_s/,29.jpg
Blasfo y Yanko Super,"Realizamos cómics de autor en diversos formatos, tales como novela gráfica, fanzine, compilaciones, tiras cómicas, entre otros. También poseemos otros productos tales como imanes, prints y stickers. Adicionalmente representamos a dos editoriales independientes, las cuales corresponden a Cazar al Tiburón y Editorial NON.",linktr.ee/blasfo                        flow.page/yankosuper,30.jpg
Perfilman,"Comic de Perfilman, Poleras posiblemente y afiches.",http://www.perfilman.cl/,31.jpg
Revista Trauko,La revista señera del 9 Arte de los 80 vuelve y celebra sus 30 años ,https://www.facebook.com/traukocomics,32.jpg
DiseñARTE,Trabajamos con ilustraciones propias de la Flora y fauna de la zona sur además de trabajar con ilustraciones de nuestros animales que son parte de nuestra familia.,https://www.instagram.com/disebyp/,33.jpg
Flip Miranda,"Felipe Miranda: Artista emergente, iniciando en la ilustración y creación de comics / Ilustraciones, Stickers, poleras y accesorios personalizados / Miembro de Aguacero Comics",https://www.deviantart.com/flipmiranda,34.jpg
Mr. Poposhop,Figuras de colección de animación japonesa,https://www.facebook.com/Mr.Popo.shop/,35.jpg
Ninico,Ilustrador y Humorista Gráfico,https://www.instagram.com/ninicocomics/,36.jpg
Librería Qué Leo Valdivia ,"Librería valdiviana dedicada a la venta y difusión de literatura local, nacional e internacional, clásicos y novedades. Además realiza actividades culturales y de fomento lector, como cuentacuentos, lanzamientos y presentaciones de diversas manifestaciones artísticas. ",https://www.queleovaldivia.com/,37.jpg
FloriNubes,"Soy Ilustradora autodidacta, mis dibujos son principalmente enfocados en la figura femenina representada en escenarios introspectivos y fantásticos, me gusta mezclar la naturaleza, el día a día y la mujer en distintos aspectos y facetas.",https://www.instagram.com/florinubes/,38.jpg
Kekiñau,"Mi nombre es Maria angelica Fierro, vivo en Valdivia y soy la creadora y diseñadora autodidacta de kekiñau. Me gradue en ballicher de artes visuales, pero mi amor por la creación y el arte surgió desde muy pequeña. Comenze jugando con telas, picando papel y curiosa por descubrir un mundo inimaginable. Mis manos sincronizan con mi pensamiento, y agradezco profundamente a mi arte, que con su calidez amorosa ha hecho que surja lo insospechable del ser. Por los que los invito a mirar mis ilustraciones, las cuales plasmo en tazones, posa vasos, bolsitas de compras, stickers, libretas, polerones, y otras cosas hechas con amor y dedicación",https://www.instagram.com/kekimiau/,39.jpg
Puduart,"Tienda de fabricacion de prendas de anime, comics y series",https://www.instagram.com/puduart/,40.jpg
ILUSION 3D,"Diseñamos, elaboramos y comercializamos mates, llaveros, figuras, imanes, de personakes de anime y caricaturas en general,  todo esto impreso con Impresión 3D de filamento y resina. ",https://www.instagram.com/ilusion3d_gadgets/?hl=es-la,41.jpg
